Date,Heure,Time,leader_CARMA_mode,leader_Speed_command,leader_CARMA_ovr,leader_avg_speed_driven_wheels,leader_ACC_speed,leader_ACC_status,leader_GPS_CARMA_speed,leader_GPS_speed,leader_acceleration,leader_fuel_consumption,leader_CARMA_ovr_manual,leader_radar1,leader_radar7,leader_radar9,follower1_CARMA_mode,follower1_Speed_command,follower1_CARMA_ovr,follower1_avg_speed_driven_wheels,follower1_ACC_speed,follower1_ACC_status,follower1_GPS_CARMA_speed,follower1_GPS_speed,follower1_acceleration,follower1_fuel_consumption,follower1_CARMA_ovr_manual,follower1_radar1,follower1_radar7,follower1_radar9,follower2_CARMA_mode,follower2_Speed_command,follower2_CARMA_ovr,follower2_avg_speed_driven_wheels,follower2_ACC_speed,follower2_ACC_status,follower2_GPS_CARMA_speed,follower2_GPS_speed,follower2_acceleration,follower2_fuel_consumption,follower2_CARMA_ovr_manual,follower2_radar1,follower2_radar7,follower2_radar9,follower3_CARMA_mode,follower3_Speed_command,follower3_CARMA_ovr,follower3_avg_speed_driven_wheels,follower3_ACC_speed,follower3_ACC_status,follower3_GPS_CARMA_speed,follower3_GPS_speed,follower3_acceleration,follower3_fuel_consumption,follower3_CARMA_ovr_manual,follower3_radar1,follower3_radar7,follower3_radar9,follower4_CARMA_mode,follower4_Speed_command,follower4_CARMA_ovr,follower4_avg_speed_driven_wheels,follower4_ACC_speed,follower4_ACC_status,follower4_GPS_CARMA_speed,follower4_GPS_speed,follower4_acceleration,follower4_fuel_consumption,follower4_CARMA_ovr_manual,follower4_radar1,follower4_radar7,follower4_radar9
17/07/2018,13:44:00,0.0,,,,3.22482896875,20.9895850125,0.0,,4.833331838016,-1.96,2.45,,0.0,0.0,0.0,0.0,0.0,0.0,6.6579914375,15.1909734375,0.0,6.372999999999999,8.166664140096,-1.86,2.65,,17.875,0.0,0.0,,,,10.41233471875,20.5555572,0,,11.305552057888,-1.27,3.1,,20.0,0.0,0.0,0.0,0.0,0.0,12.760426875,0.0,0.0,12.508,14.02777343792,-2.06,0.0,,20.0,0.0,0.0,0.0,0.0,0.0,16.08074203125,21.4409739375,0.0,15.087,,0.0,4.7,,70.375,101.625,0.0
17/07/2018,13:44:00,0.1,,,,3.0121551875,20.9895850125,0.0,,4.611109684544,-1.96,2.575,,0.0,0.0,0.0,0.0,0.0,0.0,6.46267878125,15.1909734375,0.0,6.197,7.999997524992,-1.66,2.225,,17.375,0.0,0.0,,,,10.30816796875,20.5555572,0,,11.138885442784,-1.37,2.65,,19.5,0.0,0.0,0.0,0.0,0.0,12.55643365625,0.0,0.0,12.33,13.888884592,-1.86,0.0,,19.875,0.0,0.0,0.0,0.0,0.0,16.08074203125,21.4409739375,0.0,15.043,,0.0,4.175,,70.375,101.625,0.0
17/07/2018,13:44:00,0.2,,,,2.8472245,20.9895850125,0.0,,4.472220838624,-1.96,2.95,,0.0,0.0,0.0,0.0,0.0,0.0,5.82899771875,15.1909734375,0.0,6.035,7.805553140704,-1.57,2.675,,17.125,0.0,0.0,,,,10.15191784375,20.5555572,0,,11.055552135232,-1.37,2.675,,19.25,0.0,0.0,0.0,0.0,0.0,12.39150296875,0.0,0.0,12.171,13.722217976896,-1.66,0.0,,19.625,0.0,0.0,0.0,0.0,0.0,15.93317246875,21.4409739375,0.0,15.002,,0.0,3.8,,70.375,101.5,0.0
17/07/2018,13:44:00,0.3,,,,2.62587015625,20.9895850125,0.0,,4.249998685152001,-1.96,3.125,,0.0,0.0,0.0,0.0,0.0,0.0,6.15885909375,15.1909734375,0.0,5.885,7.638886525599999,-1.57,2.25,,16.75,0.0,0.0,,,,9.9392440625,20.5555572,0,,10.888885520128,-1.57,2.7,,18.75,0.0,0.0,0.0,0.0,0.0,12.25261396875,0.0,0.0,12.03,13.555551361791998,-1.47,0.45,,19.5,0.0,0.0,0.0,0.0,0.0,15.954873875,21.4409739375,0.0,14.962,,-0.09,3.45,,70.5,101.375,0.0
17/07/2018,13:44:00,0.4,,,,2.46962003125,20.9895850125,0.0,,4.111109839232,-1.96,3.25,,0.0,0.0,0.0,0.0,0.0,0.0,6.1197965625,15.1909734375,0.0,5.726,7.444442141312,-1.57,2.25,,16.5,0.0,0.0,,,,9.6267438125,20.5555572,0,,10.749996674207999,-1.66,2.725,,18.5,0.0,0.0,0.0,0.0,0.0,12.18750975,0.0,0.0,11.915999999999999,13.416662515872,-1.27,2.275,,19.25,0.0,0.0,0.0,0.0,0.0,16.07206146875,21.4409739375,0.0,14.934000000000001,,-0.09,3.2,,70.5,101.125,0.0
17/07/2018,13:44:00,0.5,,,,2.23524484375,20.9895850125,0.0,,3.88888768576,-2.06,3.3,,0.0,0.0,0.0,0.0,0.0,0.0,5.89844221875,15.1909734375,0.0,5.5760000000000005,7.277775526208,-1.66,2.725,,16.0,0.0,0.0,,,,9.51823678125,20.5555572,0,,10.583330059104,-1.86,2.75,,18.0,0.0,0.0,0.0,0.0,0.0,12.00087765625,0.0,0.0,11.812000000000001,13.249995900768,-1.17,2.725,,19.125,0.0,0.0,0.0,0.0,0.0,15.83768628125,21.4409739375,0.0,14.892999999999999,,-0.09,2.175,,70.5,101.125,0.0
17/07/2018,13:44:00,0.6,,,,2.0138905,20.9895850125,0.0,,3.694443301472,-1.96,3.325,,0.0,0.0,0.0,0.0,0.0,0.0,5.66406703125,15.1909734375,0.0,5.407,7.138886680288,-1.66,2.275,,15.75,0.0,0.0,,,,9.42275059375,20.5555572,0,,10.416663444,-1.96,2.75,,17.75,0.0,0.0,0.0,0.0,0.0,11.9704956875,0.0,0.0,11.722000000000001,13.111107054848,-0.98,3.2,,18.75,0.0,0.0,0.0,0.0,0.0,16.00261696875,21.4409739375,0.0,14.859000000000002,,-0.09,2.05,,70.5,100.875,0.0
17/07/2018,13:44:00,0.7,,,,1.857640375,20.9895850125,0.0,,3.527776686368,-1.76,3.325,,0.0,0.0,0.0,0.0,0.0,0.0,5.4600738125,15.1909734375,0.0,5.239,6.972220065184,-1.66,2.725,,15.25,0.0,0.0,,,,9.20573653125,20.5555572,0,,10.27777459808,-1.96,2.8,,17.25,0.0,0.0,0.0,0.0,0.0,11.9531345625,0.0,0.0,11.635,12.944440439744,-0.78,3.65,,18.625,0.0,0.0,0.0,0.0,0.0,15.972235000000001,21.4409739375,0.0,14.821,,-0.09,1.575,,70.5,100.75,0.0
17/07/2018,13:44:00,0.8,,,,1.72309165625,20.9895850125,0.0,,3.33333230208,-1.57,3.275,,0.0,0.0,0.0,0.0,0.0,0.0,5.3211848125,15.1909734375,0.0,5.085,6.777775680895999,-1.47,3.15,,15.0,0.0,0.0,,,,8.99306275,20.5555572,0,,10.111107982976,-1.96,2.325,,17.0,0.0,0.0,0.0,0.0,0.0,11.545148125,0.0,0.0,11.523,12.805551593824001,-0.98,3.2,,18.375,0.0,0.0,0.0,0.0,0.0,15.972235000000001,21.4409739375,0.0,14.78,,-0.19,1.55,,70.5,100.375,0.0
17/07/2018,13:44:00,0.9,,,,1.56684153125,20.9895850125,0.0,,3.166665686976,-1.37,3.275,,0.0,0.0,0.0,0.0,0.0,0.0,5.19531665625,15.1909734375,0.0,4.946000000000001,6.611109065792,-1.37,2.7,,14.375,0.0,0.0,,,,8.78906953125,20.5555572,0,,9.916663598688,-2.06,2.8,,16.5,0.0,0.0,0.0,0.0,0.0,11.406259125,0.0,0.0,11.412,12.694440517088001,-0.98,3.2,,18.125,0.0,0.0,0.0,0.0,0.0,15.8941099375,21.4409739375,0.0,14.744000000000002,,-0.19,1.9,,70.5,100.25,0.0
